所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
UI模块(#55),验证登录页 登录链接,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）","1. 测试步骤1
2. 测试步骤2
","1. 预期结果1
2. 预期结果2
",,P1,功能测试,功能测试阶段
UI模块(#55),验证登录页 登录页面,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,"1. 测试步骤：页面设计风格统一（可以只有测试步骤，没有预期结果)
",,,P0,自动,功能测试阶段
UI模块(#55),验证登录页 控件 用户名输入,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件3：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）","1. 测试步骤
","1. 预期结果
",,P0,功能测试,功能测试阶段
UI模块(#55),验证登录页 控件 密码输入,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）","1. 测试步骤
","1. 预期结果1
",,P0,功能测试,功能测试阶段
UI模块(#55),验证登录页 控件 登录按钮,"前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）
----
前置条件2：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）",,,,P0,功能测试,功能测试阶段
UI模块(#55),验证登录页 国际化 中文环境,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,P0,功能测试,功能测试阶段
UI模块(#55),验证登录页 国际化 英文环境,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,P0,功能测试,功能测试阶段
UI模块(#55),验证登录页 操作 有效的用户名+有效的密码,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,"1. 测试步骤1
2. 测试步骤2
3. 测试步骤3（可以只有测试步骤，没有预期结果）
","2. 预期结果
",,P0,自动,功能测试阶段
UI模块(#55),验证登录页 操作 有效的用户名+无效的密码,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,P0,自动,功能测试阶段
UI模块(#55),验证登录页 操作 无效的用户名+无效的密码,前置条件1：测试用例的备注会自动识别为测试用例的前置条件，有多个备注时，也会自动合并起来（默认为空）,,,,P1,自动,功能测试阶段
UI模块(#55),验证个人主页,前置条件：如果测试用例上没有标注优先级，则默认作为一条测试用例且优先级默认为P1（默认为空）,,,,P1,功能测试,功能测试阶段
数据库模块(#56),用户表 Data,前置条件：如果测试用例上没有标注优先级，则默认作为一条测试用例且优先级默认为P1（默认为空）,,,,P1,功能测试,功能测试阶段
数据库模块(#56),用户表 Schema,无,,,,P1,功能测试,功能测试阶段
A模块名(#57),测试用例1,前置条件,"1. 测试步骤1
2. 测试步骤2
","1. 预期结果1
2. 预期结果2
",,P0,功能测试,功能测试阶段
A模块名(#57),测试用例2,前置条件,"1. 测试步骤1
2. 测试步骤2（预期结果2可以为空）
3. 测试步骤3
4. 测试步骤4
","1. 预期结果1
3. 预期结果3
4. 预期结果4
",,P0,自动,功能测试阶段
A模块名(#57),测试用例3（测试步骤和预期结果可以都为空）,无,,,,P1,功能测试,功能测试阶段
B模块名(#58),测试步骤2（优先级默认为P1）,无,"1. 测试步骤1
2. 测试步骤3
","1. 预期结果1
",,P0,功能测试,功能测试阶段
B模块名(#58),测试用例3（前置条件默认为空） > 无设置优先级，这里加入用例标题,无,,,,P1,功能测试,功能测试阶段
